grid_cell,ba,lat,lon,pr,distance_to_grid,population,surface_area_ofs,surface_area_ons
1,British Columbia.a,59.5,-139.375,British Columbia,596.2019166,0,0,195.08
10,British Columbia.a,59.5,-136.25,British Columbia,449.801978,0,0,1170.51
100,British Columbia.a,54.5,-130,British Columbia,30.5074273,0,0,2011.48
1000,Saskatchewan.a,52.5,-104.375,Saskatchewan,47.8630092,5846,0,2343.98
1001,Saskatchewan.a,52,-104.375,Saskatchewan,100.3481655,2424,0,2370.79
1002,Saskatchewan.a,51.5,-104.375,Saskatchewan,100.8966041,4491,0,1917.94
1003,Saskatchewan.a,51,-104.375,Saskatchewan,64.4399075,2288,0,2423.87
1004,Saskatchewan.a,50.5,-104.375,Saskatchewan,14.5300099,13797,0,2450.13
1005,Saskatchewan.a,50,-104.375,Saskatchewan,49.5165508,8299,0,2476.21
1006,Saskatchewan.a,49.5,-104.375,Saskatchewan,37.6689352,13702,0,2502.1
1007,Saskatchewan.a,49,-104.375,Saskatchewan,79.3371903,1820,0,2527.79
1008,Saskatchewan.a,59.5,-103.75,Saskatchewan,276.09491,0,0,1950.85
1009,Saskatchewan.a,59,-103.75,Saskatchewan,226.6327228,0,0,1979.97
101,British Columbia.a,54,-130,British Columbia,11.6590394,0,0,2036.24
1010,Saskatchewan.a,58.5,-103.75,Saskatchewan,180.7702351,0,0,1607.15
1011,Saskatchewan.a,58,-103.75,Saskatchewan,142.0382343,0,0,407.55
1012,Saskatchewan.a,57.5,-103.75,Saskatchewan,117.7002016,0,0,1033.2
1013,Saskatchewan.a,57,-103.75,Saskatchewan,117.1038439,0,0,2094.91
1014,Saskatchewan.a,56.5,-103.75,Saskatchewan,138.477962,0,0,1910.92
1015,Saskatchewan.a,56,-103.75,Saskatchewan,101.7474628,1079,0,1721.14
1016,Saskatchewan.a,55.5,-103.75,Saskatchewan,87.8106578,0,0,2179.44
1017,Saskatchewan.a,55,-103.75,Saskatchewan,148.0938812,0,0,1986.57
1018,Saskatchewan.a,54.5,-103.75,Saskatchewan,93.9224904,875,0,1340.99
1019,Saskatchewan.a,54,-103.75,Saskatchewan,43.5108144,0,0,2262.49
102,British Columbia.a,53.5,-130,British Columbia,56.5352589,31,0,2060.85
1020,Saskatchewan.a,53.5,-103.75,Saskatchewan,27.8158416,139,0,1831.86
1021,Saskatchewan.a,53,-103.75,Saskatchewan,23.5104081,2511,0,2316.99
1022,Saskatchewan.a,52.5,-103.75,Saskatchewan,46.3450479,1900,0,2343.98
1023,Saskatchewan.a,52,-103.75,Saskatchewan,99.6249197,2395,0,2133.71
1024,Saskatchewan.a,51.5,-103.75,Saskatchewan,96.6052226,3654,0,2157.68
1025,Saskatchewan.a,51,-103.75,Saskatchewan,84.6723378,1565,0,2423.87
1026,Saskatchewan.a,50.5,-103.75,Saskatchewan,57.0996633,5578,0,2205.12
1027,Saskatchewan.a,50,-103.75,Saskatchewan,41.1231125,3083,0,2228.59
1028,Saskatchewan.a,49.5,-103.75,Saskatchewan,19.3323816,1099,0,2502.1
1029,Saskatchewan.a,49,-103.75,Saskatchewan,72.3776304,1992,0,2527.79
103,British Columbia.a,53,-130,British Columbia,110.7675028,0,1158.5,1158.5
1030,Saskatchewan.a,59.5,-103.125,Saskatchewan,292.5804629,0,0,1560.68
1031,Saskatchewan.a,59,-103.125,Saskatchewan,246.7283532,0,0,1979.97
1032,Saskatchewan.a,58.5,-103.125,Saskatchewan,205.7362896,0,0,1808.04
1033,Saskatchewan.a,58,-103.125,Saskatchewan,278.7893577,1279,0,1426.42
1034,Saskatchewan.a,57.5,-103.125,Saskatchewan,224.2439544,0,0,1653.12
1035,Saskatchewan.a,57,-103.125,Saskatchewan,170.3796735,0,0,1256.94
1036,Saskatchewan.a,56.5,-103.125,Saskatchewan,118.131927,0,0,1061.62
1037,Saskatchewan.a,56,-103.125,Saskatchewan,71.1555209,0,0,1721.14
1038,Saskatchewan.a,55.5,-103.125,Saskatchewan,48.5087737,0,0,2179.44
1039,Saskatchewan.a,55,-103.125,Saskatchewan,76.3225463,2296,0,1545.11
104,British Columbia.a,52.5,-130,British Columbia,165.9059504,0,2343.98,0
1040,Saskatchewan.a,54.5,-103.125,Saskatchewan,91.341094,0,0,1340.99
1041,Saskatchewan.a,54,-103.125,Saskatchewan,37.5384249,0,0,1583.74
1042,Saskatchewan.a,53.5,-103.125,Saskatchewan,25.6362283,0,0,1602.88
1043,Saskatchewan.a,53,-103.125,Saskatchewan,78.0220739,1859,0,2316.99
1044,Saskatchewan.a,52.5,-103.125,Saskatchewan,74.523064,786,0,2343.98
