grid_cell,lon,lat,ba
1,-139.375,59.5,British Columbia.a
2,-138.75,59.5,British Columbia.a
3,-138.75,59.0,British Columbia.a
4,-138.125,59.5,British Columbia.a
5,-138.125,59.0,British Columbia.a
6,-137.5,59.5,British Columbia.a
7,-137.5,59.0,British Columbia.a
8,-136.875,59.5,British Columbia.a
9,-136.875,59.0,British Columbia.a
10,-136.25,59.5,British Columbia.a
11,-136.25,59.0,British Columbia.a
12,-135.625,59.5,British Columbia.a
13,-135.625,59.0,British Columbia.a
14,-135.0,59.5,British Columbia.a
15,-135.0,59.0,British Columbia.a
16,-134.375,59.5,British Columbia.a
17,-134.375,59.0,British Columbia.a
18,-134.375,58.5,British Columbia.a
19,-133.75,59.5,British Columbia.a
20,-133.75,59.0,British Columbia.a
21,-133.75,58.5,British Columbia.a
22,-133.75,58.0,British Columbia.a
23,-133.75,54.0,British Columbia.a
24,-133.75,53.5,British Columbia.a
25,-133.125,59.5,British Columbia.a
26,-133.125,59.0,British Columbia.a
27,-133.125,58.5,British Columbia.a
28,-133.125,58.0,British Columbia.a
29,-133.125,57.5,British Columbia.a
30,-133.125,57.0,British Columbia.a
31,-133.125,54.0,British Columbia.a
32,-133.125,53.5,British Columbia.a
33,-133.125,53.0,British Columbia.a
34,-133.125,52.5,British Columbia.a
35,-132.5,59.5,British Columbia.a
36,-132.5,59.0,British Columbia.a
37,-132.5,58.5,British Columbia.a
38,-132.5,58.0,British Columbia.a
39,-132.5,57.5,British Columbia.a
40,-132.5,57.0,British Columbia.a
41,-132.5,56.5,British Columbia.a
42,-132.5,54.0,British Columbia.a
43,-132.5,53.5,British Columbia.a
44,-132.5,53.0,British Columbia.a
45,-132.5,52.5,British Columbia.a
46,-131.875,59.5,British Columbia.a
47,-131.875,59.0,British Columbia.a
48,-131.875,58.5,British Columbia.a
49,-131.875,58.0,British Columbia.a
50,-131.875,57.5,British Columbia.a
51,-131.875,57.0,British Columbia.a
52,-131.875,56.5,British Columbia.a
53,-131.875,56.0,British Columbia.a
54,-131.875,54.0,British Columbia.a
55,-131.875,53.5,British Columbia.a
56,-131.875,53.0,British Columbia.a
57,-131.875,52.5,British Columbia.a
58,-131.875,52.0,British Columbia.a
59,-131.25,59.5,British Columbia.a
60,-131.25,59.0,British Columbia.a
61,-131.25,58.5,British Columbia.a
62,-131.25,58.0,British Columbia.a
63,-131.25,57.5,British Columbia.a
64,-131.25,57.0,British Columbia.a
65,-131.25,56.5,British Columbia.a
66,-131.25,56.0,British Columbia.a
67,-131.25,54.5,British Columbia.a
68,-131.25,54.0,British Columbia.a
69,-131.25,53.5,British Columbia.a
70,-131.25,53.0,British Columbia.a
71,-131.25,52.5,British Columbia.a
72,-131.25,52.0,British Columbia.a
73,-131.25,51.5,British Columbia.a
74,-130.625,59.5,British Columbia.a
75,-130.625,59.0,British Columbia.a
76,-130.625,58.5,British Columbia.a
77,-130.625,58.0,British Columbia.a
78,-130.625,57.5,British Columbia.a
79,-130.625,57.0,British Columbia.a
80,-130.625,56.5,British Columbia.a
81,-130.625,56.0,British Columbia.a
82,-130.625,55.5,British Columbia.a
83,-130.625,55.0,British Columbia.a
84,-130.625,54.5,British Columbia.a
85,-130.625,54.0,British Columbia.a
86,-130.625,53.5,British Columbia.a
87,-130.625,53.0,British Columbia.a
88,-130.625,52.5,British Columbia.a
89,-130.625,52.0,British Columbia.a
90,-130.0,59.5,British Columbia.a
91,-130.0,59.0,British Columbia.a
92,-130.0,58.5,British Columbia.a
93,-130.0,58.0,British Columbia.a
94,-130.0,57.5,British Columbia.a
